,,,,,,,,
,,,,,,,,
,,,,,,,,
We love our dogs. They love to race.,,,,,,,,
MEMBERS LOG IN,,,,,,,,
Races,,,,,,,,
Calendar,,,,,,,,
Events and Promotions,,,,,,,,
Group and Feature races,,,,,,,,
Fields,,,,,,,,
Results,,,,,,,,
Racing Replay Archives,,,,,,,,
Box Statistics,,,,,,,,
Clubs and Tracks,,,,,,,,
Betting guide,,,,,,,,
??,,,,,,,,
Getting Involved,,,,,,,,
Become a Licensed Person,,,,,,,,
Public Syndication,,,,,,,,
Career Opportunities,,,,,,,,
Join The Excitement,,,,,,,,
Purchasing a Greyhound,,,,,,,,
Online Payments,,,,,,,,
Trainers,,,,,,,,
Public Trainer - Contacts,,,,,,,,
Trainer Premiership,,,,,,,,
Club Selection Criteria,,,,,,,,
Greyhounds,,,,,,,,
Greyhound Profiles,,,,,,,,
Greyhound of the Year,,,,,,,,
Hall of Fame,,,,,,,,
Greyhound Standings,,,,,,,,
Stud Masters and Stud Dogs,,,,,,,,
Greyhound Adoption Programme,,,,,,,,
Great Mates Prison Programme,,,,,,,,
Health and Welfare,,,,,,,,
Great Mates Rehoming Programme,,,,,,,,
About GRNZ,,,,,,,,
About Us,,,,,,,,
Meet the Team,,,,,,,,
History,,,,,,,,
Contact Us,,,,,,,,
Fees and Forms,,,,,,,,
Rules and Policies,,,,,,,,
Documents,,,,,,,,
Sponsors and Support,,,,,,,,
Links,,,,,,,,
News,,,,,,,,
News Articles,,,,,,,,
Stakeholders News,,,,,,,,
Blog,,,,,,,,
Online Payments,,,,,,,,
Results Christchurch GRC ,,,,,,,,
14-Feb-20,,,,,,,,
Addington Raceway,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 1,The Fitz Sports Bar Sprint,"C0 295 $1,365.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Auto Speed,4,$2.40,33.7kg,311,R H Adcock,,
2,Mitcham Magic,2,$3.40,29.3kg,122,J T McInerney,3.5,
3,Go Blue,1,$4.60,32.7kg,233,R Wales,3.6,
4,Sneaky Snitch,8,$10.10,28.4kg,764,AL Hart & KM Taylor,6.3,
5,King Theoden,6,$18.50,32.8kg,645,C D Steele,6.4,
6,Sweet Mary Ann,5,$17.10,28.3kg,456,R D Blackburn,6.5,
7,White Roxy,7,$41.30,26.0kg,877,M K Dempsey,7.8,
8,Homebush Poppy,3,$31.00,26.8kg,588,J T McInerney,8.8,
Scratched,Homebush Ariana,,,,,,,
Scratched,Goldstar Harlowe,,,,,,,
Winners Time: 17.50,|,Margins: 3hLn2tL,|,Owned/Raced by: RH Adcock & RG Amer,|,Trained by: R H Adcock,,
Sectional 1: 5.98 (Mitcham Magic),Run home: 11.52,,,,,,,
GO BLUE (1) - checked by MITCHAM MAGIC into bend losing ground. Ran wide home turn.,,,,,,,,
MITCHAM MAGIC (2) - ran inwards into bend checking GO BLUE.,,,,,,,,
HOMEBUSH POPPY (3) - ran outwards early stages contacting AUTO SPEED. Hampered by the checked GO BLUE on bend then checked outwards off heels of KING THEODEN.,,,,,,,,
