,,,,,,,,
,,,,,,,,
,,,,,,,,
We love our dogs. They love to race.,,,,,,,,
MEMBERS LOG IN,,,,,,,,
Races,,,,,,,,
Calendar,,,,,,,,
Events and Promotions,,,,,,,,
Group and Feature races,,,,,,,,
Fields,,,,,,,,
Results,,,,,,,,
Racing Replay Archives,,,,,,,,
Box Statistics,,,,,,,,
Clubs and Tracks,,,,,,,,
Betting guide,,,,,,,,
??,,,,,,,,
Getting Involved,,,,,,,,
Become a Licensed Person,,,,,,,,
Public Syndication,,,,,,,,
Career Opportunities,,,,,,,,
Join The Excitement,,,,,,,,
Purchasing a Greyhound,,,,,,,,
Online Payments,,,,,,,,
Trainers,,,,,,,,
Public Trainer - Contacts,,,,,,,,
Trainer Premiership,,,,,,,,
Club Selection Criteria,,,,,,,,
Greyhounds,,,,,,,,
Greyhound Profiles,,,,,,,,
Greyhound of the Year,,,,,,,,
Hall of Fame,,,,,,,,
Greyhound Standings,,,,,,,,
Stud Masters and Stud Dogs,,,,,,,,
Greyhound Adoption Programme,,,,,,,,
Great Mates Prison Programme,,,,,,,,
Health and Welfare,,,,,,,,
Great Mates Rehoming Programme,,,,,,,,
About GRNZ,,,,,,,,
About Us,,,,,,,,
Meet the Team,,,,,,,,
History,,,,,,,,
Contact Us,,,,,,,,
Fees and Forms,,,,,,,,
Rules and Policies,,,,,,,,
Documents,,,,,,,,
Sponsors and Support,,,,,,,,
Links,,,,,,,,
News,,,,,,,,
News Articles,,,,,,,,
Stakeholders News,,,,,,,,
Blog,,,,,,,,
Online Payments,,,,,,,,
Results Auckland GRC ,,,,,,,,
23-Feb-20,,,,,,,,
Manukau Stadium,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 1,Qualified Pet Services Railway Sprint Heat 1,"C5q 318 $2,860.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Select Trick,6,$3.10,25.6kg,111,C J Weir,,
2,Know Baby,7,$34.60,28.8kg,722,G A Cleeve,9.23,
3,Toca Madera,2,$6.90,35.6kg,233,A H Turnwald,9.71,
4,Thank You Next,8,$22.80,26.1kg,444,B D F Craik,11.46,
5,Big Time Pluto,5,$10.90,29.5kg,555,Lisa Cole,11.81,
6,Fantastic Amy,1,$18.20,28.1kg,866,Sam Lozell,13.36,
7,Captain Kev,3,$2.20,29.7kg,677,W & T Steele,13.84,
8,Manila Bala,4,$16.30,28.2kg,288,R & N O'Regan,20.47,
Scratched,Go All Lin,,,,,,,
Scratched,Bigtime Banjo,,,,,,,
Winners Time: 18.27,|,Margins: 9qLhL1tL,|,Owned/Raced by: D Goodman,|,Trained by: C J Weir,,
Sectional 1: 4.56 (Select Trick),Run home: 13.71,,,,,,,
FANTASTIC AMY (1) - tightened and checked after the start. Checked racing toward the first turn shifting out off heels.,,,,,,,,
TOCA MADERA (2) - checked after the start shifting in making contact. Checked first turn shifting out across heels.,,,,,,,,
CAPTAIN KEV (3) - checked start shifting out off heels. Improved onto heels rounding the bend making solid contact becoming awkwardly placed on the running rail. Veterinary examination revealed no abnormality.,,,,,,,,
